Date,Close,Volume,PriceRange,Quarter,Quarter Close,Home Fitness Equipment Salse,"Revenue of the fitness, health and gym club industry",Health Club Membership ,Number of Health Clubs,Fitness App Market Size,Fitness Industry Businesses,Digital Health Investment,Fitness Center Machine Sales,B2B Sports Nutrition Market,Quarter Dolla Strength
42377,53.91,20381574,3.7,2016Q1,60,3790000000,38710000000,57300000,36540,6086000000,95609,4600000000,1406000000,1400000000,100
42384,55.71,27297646,8.59,2016Q2,66,3790000000,38710000000,57300000,36540,6086000000,95609,4600000000,1406000000,1400000000,96
42391,58.03,12322965,5.85,2016Q3,73,3790000000,38710000000,57300000,36540,6086000000,95609,4600000000,1406000000,1400000000,96
42398,62.07,13595850,5.05,2016Q4,60,3790000000,38710000000,57300000,36540,6086000000,95609,4600000000,1406000000,1400000000,90
42405,60.75,13905819,3.86,2017Q1,65,3760000000,40160000000,60900000,38447,7248000000,98642,6000000000,1419000000,1500000000,88
42412,58.84,14478493,5.51,2017Q2,53,3760000000,40160000000,60900000,38447,7248000000,98642,6000000000,1419000000,1500000000,90
42419,60.76,6680061,3.28,2017Q3,61,3760000000,40160000000,60900000,38447,7248000000,98642,6000000000,1419000000,1500000000,89
42426,61.56,9066263,3.74,2017Q4,68,3760000000,40160000000,60900000,38447,7248000000,98642,6000000000,1419000000,1500000000,84
42433,61.22,9966569,2.68,2018Q1,81,3860000000,40280000000,62500000,39570,8657550000,100977,8300000000,1509000000,1574000000,83
42440,64.42,7815279,3.9,2018Q2,108,3860000000,40280000000,62500000,39570,8657550000,100977,8300000000,1509000000,1574000000,86
42447,62.51,6954281,3.49,2018Q3,139,3860000000,40280000000,62500000,39570,8657550000,100977,8300000000,1509000000,1574000000,88
42454,60.89,7535010,2.84,2018Q4,131,3860000000,40280000000,62500000,39570,8657550000,100977,8300000000,1509000000,1574000000,91
42461,68.69,23537182,8.89,2019Q1,146,3980000000,41800000000,64200000,41370,10200480000,103175,7700000000,1566000000,1678000000,90
42468,63.75,11262899,7.05,2019Q2,174,3980000000,41800000000,64200000,41370,10200480000,103175,7700000000,1566000000,1678000000,86
42475,64.8,12928371,4.94,2019Q3,187,3980000000,41800000000,64200000,41370,10200480000,103175,7700000000,1566000000,1678000000,85
42482,66.24,8372758,4.17,2019Q4,210,3980000000,41800000000,64200000,41370,10200480000,103175,7700000000,1566000000,1678000000,85
42489,65.55,5804427,1.61,2020Q1,224,5590000000,28040000000,65794117,34337,12943000000,104028,14600000000,1302000000,1118000000,84
42496,62.81,9084164,6.26,2020Q2,255,5590000000,28040000000,65794117,34337,12943000000,104028,14600000000,1302000000,1118000000,82
42503,61.58,9894919,4.35,2020Q3,331,5590000000,28040000000,65794117,34337,12943000000,104028,14600000000,1302000000,1118000000,80
42510,62.49,8849655,3.18,2020Q4,347,5590000000,28040000000,65794117,34337,12943000000,104028,14600000000,1302000000,1118000000,77
42517,64.69,6385368,3.08,2021Q1,329,6420000000,30740000000,66500000,32269,12172000000,109246,14700000000,1464000000,1827000000,75
42524,67.24,9538948,4.01,2021Q2,329,6420000000,30740000000,66500000,32269,12172000000,109246,14700000000,1464000000,1827000000,73
42531,70.54,26107205,5.58,2021Q3,401,6420000000,30740000000,66500000,32269,12172000000,109246,14700000000,1464000000,1827000000,76
42538,71.71,9790224,2.8,2021Q4,425,6420000000,30740000000,66500000,32269,12172000000,109246,14700000000,1464000000,1827000000,85
42545,69.62,9210707,3.76,2022Q1,320,6080000000,32020000000,70500000,31028,14657830000,112676,14500000000,1515000000,1905000000,86
42552,73.96,10916492,7.73,2022Q2,323,6080000000,32020000000,70500000,31028,14657830000,112676,14500000000,1515000000,1905000000,83
42559,76.72,5419686,4.13,2022Q3,307,6080000000,32020000000,70500000,31028,14657830000,112676,14500000000,1515000000,1905000000,79
42566,77.8,5829794,2.33,2022Q4,329,6080000000,32020000000,70500000,31028,14657830000,112676,14500000000,1515000000,1905000000,76
42573,76.14,7578368,2.68,,,,,,,,,,,,
42580,77.65,4777992,2.75,,,,,,,,,,,,
42587,77.8,7259155,5.93,,,,,,,,,,,,
42594,79.34,4207505,2.79,,,,,,,,,,,,
42601,80.65,5681888,3.16,,,,,,,,,,,,
42608,78.19,8061187,3.64,,,,,,,,,,,,
42615,68.57,31743551,11.03,,,,,,,,,,,,
42622,64.8,14964328,4.13,,,,,,,,,,,,
42629,65.98,11684247,3.05,,,,,,,,,,,,
42636,65.19,7221559,2.06,,,,,,,,,,,,
42643,60.98,11657252,4.94,,,,,,,,,,,,
42650,58.29,14479537,4.5,,,,,,,,,,,,
42657,56.62,9869567,2.66,,,,,,,,,,,,
42664,57,16670533,4.01,,,,,,,,,,,,
42671,58.4,13412243,5,,,,,,,,,,,,
42678,55.84,8597203,3.48,,,,,,,,,,,,
42685,57.84,8249498,4.2,,,,,,,,,,,,
42692,54.61,9209913,4.02,,,,,,,,,,,,
42699,57.99,6989273,4.15,,,,,,,,,,,,
42706,55.31,10585081,5.21,,,,,,,,,,,,
