Quarter,Quarter Close,Home Fitness Equipment Salse,"Revenue of the fitness, health and gym club industry",Health Club Membership ,Number of Health Clubs,Fitness App Market Size,Fitness Industry Businesses,Digital Health Investment,Fitness Center Machine Sales,B2B Sports Nutrition Market,Quarter Dolla Strength
2016Q1,60,3790000000,38710000000,57300000,36540,6086000000,95609,4600000000,1406000000,1400000000,100
2016Q2,66,3790000000,38710000000,57300000,36540,6086000000,95609,4600000000,1406000000,1400000000,96
2016Q3,73,3790000000,38710000000,57300000,36540,6086000000,95609,4600000000,1406000000,1400000000,96
2016Q4,60,3790000000,38710000000,57300000,36540,6086000000,95609,4600000000,1406000000,1400000000,90
2017Q1,65,3760000000,40160000000,60900000,38447,7248000000,98642,6000000000,1419000000,1500000000,88
2017Q2,53,3760000000,40160000000,60900000,38447,7248000000,98642,6000000000,1419000000,1500000000,90
2017Q3,61,3760000000,40160000000,60900000,38447,7248000000,98642,6000000000,1419000000,1500000000,89
2017Q4,68,3760000000,40160000000,60900000,38447,7248000000,98642,6000000000,1419000000,1500000000,84
2018Q1,81,3860000000,40280000000,62500000,39570,8657550000,100977,8300000000,1509000000,1574000000,83
2018Q2,108,3860000000,40280000000,62500000,39570,8657550000,100977,8300000000,1509000000,1574000000,86
2018Q3,139,3860000000,40280000000,62500000,39570,8657550000,100977,8300000000,1509000000,1574000000,88
2018Q4,131,3860000000,40280000000,62500000,39570,8657550000,100977,8300000000,1509000000,1574000000,91
2019Q1,146,3980000000,41800000000,64200000,41370,10200480000,103175,7700000000,1566000000,1678000000,90
2019Q2,174,3980000000,41800000000,64200000,41370,10200480000,103175,7700000000,1566000000,1678000000,86
2019Q3,187,3980000000,41800000000,64200000,41370,10200480000,103175,7700000000,1566000000,1678000000,85
2019Q4,210,3980000000,41800000000,64200000,41370,10200480000,103175,7700000000,1566000000,1678000000,85
2020Q1,224,5590000000,28040000000,65794117,34337,12943000000,104028,14600000000,1302000000,1118000000,84
2020Q2,255,5590000000,28040000000,65794117,34337,12943000000,104028,14600000000,1302000000,1118000000,82
2020Q3,331,5590000000,28040000000,65794117,34337,12943000000,104028,14600000000,1302000000,1118000000,80
2020Q4,347,5590000000,28040000000,65794117,34337,12943000000,104028,14600000000,1302000000,1118000000,77
2021Q1,329,6420000000,30740000000,66500000,32269,12172000000,109246,14700000000,1464000000,1827000000,75
2021Q2,329,6420000000,30740000000,66500000,32269,12172000000,109246,14700000000,1464000000,1827000000,73
2021Q3,401,6420000000,30740000000,66500000,32269,12172000000,109246,14700000000,1464000000,1827000000,76
2021Q4,425,6420000000,30740000000,66500000,32269,12172000000,109246,14700000000,1464000000,1827000000,85
2022Q1,320,6080000000,32020000000,70500000,31028,14657830000,112676,14500000000,1515000000,1905000000,86
2022Q2,323,6080000000,32020000000,70500000,31028,14657830000,112676,14500000000,1515000000,1905000000,83
2022Q3,307,6080000000,32020000000,70500000,31028,14657830000,112676,14500000000,1515000000,1905000000,79
2022Q4,329,6080000000,32020000000,70500000,31028,14657830000,112676,14500000000,1515000000,1905000000,76
