Date,Close,Volume,PriceRange,Quarter,Quarter Close
2016-01-08,15.36,1576798,0.98,2016Q1,14.84 
2016-01-15,15.01,1797279,1.16,2016Q2,16.76 
2016-01-22,14.82,1253557,1.41,2016Q3,20.60 
2016-01-29,14.29,1640202,1.34,2016Q4,20.67 
2016-02-05,14.59,1157649,1.09,2017Q1,20.63 
2016-02-12,13.68,1402465,1.27,2017Q2,21.15 
2016-02-19,14.41,931731,1.17,2017Q3,24.42 
2016-02-26,14.6,1810135,1.05,2017Q4,29.96 
2016-03-04,15.61,2980737,2.21,2018Q1,35.26 
2016-03-11,14.69,4540435,2.24,2018Q2,41.23 
2016-03-18,15.41,1683598,1.66,2018Q3,50.17 
2016-03-25,15.6,1507242,0.63,2018Q4,51.24 
2016-04-01,15.56,1759043,1.28,2019Q1,60.78 
2016-04-08,14.94,1660649,1.2,2019Q2,75.55 
2016-04-15,15.78,975225,0.78,2019Q3,70.03 
2016-04-22,15.61,747817,0.64,2019Q4,66.40 
2016-04-29,15.36,969646,0.83,2020Q1,70.67 
2016-05-06,15.2,1039158,0.66,2020Q2,59.58 
2016-05-13,16.48,2545581,1.63,2020Q3,57.33 
2016-05-20,17.05,1483167,0.84,2020Q4,69.38 
2016-05-27,17.99,1637923,0.96,2021Q1,79.26 
2016-06-03,17.72,968048,0.49,2021Q2,79.69 
2016-06-10,18.71,1454142,1.18,2021Q3,76.07 
2016-06-17,19.02,1156895,1.43,2021Q4,85.48 
2016-06-24,18.45,11914006,2.71,2022Q1,86.44 
2016-07-01,19.03,3284126,1.41,2022Q2,74.93 
2016-07-08,19.9,2313248,1.61,2022Q3,71.50 
2016-07-15,20.17,2632154,0.98,2022Q4,70.28 
2016-07-22,20.01,2109779,1.41,,
2016-07-29,20.5,1130019,0.64,,
2016-08-05,20.54,1152283,1.09,,
2016-08-12,22.36,4008929,3.38,,
2016-08-19,21.91,1934562,1.19,,
2016-08-26,22,2107244,1.51,,
2016-09-02,21,1939912,1.57,,
2016-09-09,20.11,1459629,1.24,,
2016-09-16,19.85,2782833,1.14,,
2016-09-23,21,5674426,1.74,,
2016-09-30,20.07,3140093,1.07,,
2016-10-07,19.83,2089154,0.58,,
2016-10-14,19.51,2202428,0.69,,
2016-10-21,19.3,1244109,0.54,,
2016-10-28,21.16,5418468,2.95,,
2016-11-04,20.99,3354243,0.94,,
2016-11-11,24.54,4116568,3.79,,
2016-11-18,20.01,9256311,5.16,,
2016-11-25,21.61,4687790,1.67,,
2016-12-02,20.02,4529609,2.19,,
2016-12-09,21.01,5260723,1.86,,
2016-12-16,20.89,4115197,0.77,,
2016-12-23,19.76,2568062,1.36,,
2016-12-30,20.1,1686572,0.54,,
2017-01-06,20.09,2092764,1.01,,
2017-01-13,20.68,3981685,0.88,,
2017-01-20,20.03,1787764,0.98,,
2017-01-27,20.85,3437147,1.68,,
2017-02-03,21.39,3675855,1.04,,
2017-02-10,21.49,2434438,0.69,,
2017-02-17,21.45,5988066,1.12,,
2017-02-24,21.43,2919716,1.05,,
2017-03-03,21.68,7387335,1.08,,
2017-03-10,20.51,10257070,1.61,,
2017-03-17,20.19,4485781,0.63,,
2017-03-24,19.19,6849991,1.53,,
2017-03-31,19.27,6449185,0.8,,
2017-04-07,19.24,5024847,0.5,,
2017-04-14,18.92,5847887,0.99,,
2017-04-21,18.64,4012152,0.52,,
2017-04-28,20.8,7085006,2.19,,
2017-05-05,20.6,14569098,1.42,,
2017-05-12,20.91,8419535,0.75,,
2017-05-19,20.68,5458685,1.06,,
2017-05-26,21.63,6022405,1.08,,
2017-06-02,21.49,4064852,0.75,,
2017-06-09,21.68,4748213,0.73,,
2017-06-16,22.81,7888118,1.71,,
2017-06-23,24.25,17116581,1.54,,
2017-06-30,23.34,8668727,1.49,,
2017-07-07,22.68,5786695,1.58,,
2017-07-14,23.24,4077796,1.08,,
2017-07-21,22.8,5725945,0.88,,
2017-07-28,22.79,5074495,0.75,,
2017-08-04,23.32,5167525,1.22,,
2017-08-11,24.55,15256246,2.4,,
2017-08-18,23.53,5738839,1.5,,
2017-08-25,24.82,6059874,1.37,,
2017-09-01,25.17,4880830,0.95,,
2017-09-08,24.9,3661153,0.76,,
2017-09-15,25.79,5004305,1.18,,
2017-09-22,26.91,6354998,1.16,,
2017-09-29,26.98,4530512,1.09,,
2017-10-06,26.37,3896586,1.44,,
2017-10-13,26.21,3156981,0.84,,
2017-10-20,26.53,2701292,1.19,,
2017-10-27,25.9,3530983,1.12,,
2017-11-03,26.82,4286710,1.39,,
2017-11-10,30.12,13601788,4.66,,
2017-11-17,30.08,4825063,1.02,,
2017-11-24,31.3,2648885,1.49,,
2017-12-01,31.68,5804500,1.96,,
2017-12-08,32.14,3993987,1.36,,
2017-12-15,33.01,5144989,1.94,,
2017-12-22,34.65,4762644,1.77,,
2017-12-29,34.63,2902110,1.02,,
2018-01-05,33.7,6351033,1.74,,
2018-01-12,32.37,6352273,1.8,,
2018-01-19,33.07,4059056,1.48,,
2018-01-26,34.74,3954933,1.95,,
2018-02-02,33.91,3263126,1.38,,
2018-02-09,30.31,8082105,5.24,,
2018-02-16,32.38,4758205,2.35,,
2018-02-23,36.78,11637682,5.11,,
2018-03-02,37.71,7417997,1.85,,
2018-03-09,39.51,4456788,2.49,,
2018-03-16,38.39,4580711,1.75,,
2018-03-23,37.72,3541502,1.22,,
2018-03-30,37.77,4127719,1.95,,
2018-04-06,38.81,5402485,3.43,,
2018-04-13,38.56,2735651,1.14,,
2018-04-20,40.87,4589975,2.25,,
2018-04-27,40.5,3926163,2,,
2018-05-04,40.45,4080569,1.49,,
2018-05-11,40.49,10959259,4.95,,
2018-05-18,39.94,4930159,2.49,,
2018-05-25,38.86,4418998,2.28,,
2018-06-01,39.96,2894336,1.8,,
2018-06-08,43.12,6673990,4.29,,
2018-06-15,45.21,4632124,2.57,,
2018-06-22,45.24,4545300,2.22,,
2018-06-29,43.94,5393249,3.44,,
2018-07-06,45.9,2768043,3.26,,
2018-07-13,48.71,4669991,4.26,,
2018-07-20,49.87,5230867,1.75,,
2018-07-27,48.79,4415163,2.29,,
2018-08-03,47.77,4140573,1.42,,
2018-08-10,51.94,8156727,5.89,,
2018-08-17,50.78,7050712,3.78,,
