Quarter,Quarter Close,Home Fitness Equipment Salse,"Revenue of the fitness, health and gym club industry",Health Club Membership ,Number of Health Clubs,Fitness App Market Size,Fitness Industry Businesses,Digital Health Investment,Fitness Center Machine Sales,B2B Sports Nutrition Market
2016Q1,15,3790000000,38710000000,57300000,36540,6086000000,95609,4600000000,1406000000,1400000000
2016Q2,17,3790000000,38710000000,57300000,36540,6086000000,95609,4600000000,1406000000,1400000000
2016Q3,21,3790000000,38710000000,57300000,36540,6086000000,95609,4600000000,1406000000,1400000000
2016Q4,21,3790000000,38710000000,57300000,36540,6086000000,95609,4600000000,1406000000,1400000000
2017Q1,21,3760000000,40160000000,60900000,38447,7248000000,98642,6000000000,1419000000,1500000000
2017Q2,21,3760000000,40160000000,60900000,38447,7248000000,98642,6000000000,1419000000,1500000000
2017Q3,24,3760000000,40160000000,60900000,38447,7248000000,98642,6000000000,1419000000,1500000000
2017Q4,30,3760000000,40160000000,60900000,38447,7248000000,98642,6000000000,1419000000,1500000000
2018Q1,35,3860000000,40280000000,62500000,39570,8657550000,100977,8300000000,1509000000,1574000000
2018Q2,41,3860000000,40280000000,62500000,39570,8657550000,100977,8300000000,1509000000,1574000000
2018Q3,50,3860000000,40280000000,62500000,39570,8657550000,100977,8300000000,1509000000,1574000000
2018Q4,51,3860000000,40280000000,62500000,39570,8657550000,100977,8300000000,1509000000,1574000000
2019Q1,61,3980000000,41800000000,64200000,41370,10200480000,103175,7700000000,1566000000,1678000000
2019Q2,76,3980000000,41800000000,64200000,41370,10200480000,103175,7700000000,1566000000,1678000000
2019Q3,70,3980000000,41800000000,64200000,41370,10200480000,103175,7700000000,1566000000,1678000000
2019Q4,66,3980000000,41800000000,64200000,41370,10200480000,103175,7700000000,1566000000,1678000000
2020Q1,71,5590000000,28040000000,65794117,34337,12943000000,104028,14600000000,1302000000,1118000000
2020Q2,60,5590000000,28040000000,65794117,34337,12943000000,104028,14600000000,1302000000,1118000000
2020Q3,57,5590000000,28040000000,65794117,34337,12943000000,104028,14600000000,1302000000,1118000000
2020Q4,69,5590000000,28040000000,65794117,34337,12943000000,104028,14600000000,1302000000,1118000000
2021Q1,79,6420000000,30740000000,66500000,32269,12172000000,109246,14700000000,1464000000,1827000000
2021Q2,80,6420000000,30740000000,66500000,32269,12172000000,109246,14700000000,1464000000,1827000000
2021Q3,76,6420000000,30740000000,66500000,32269,12172000000,109246,14700000000,1464000000,1827000000
2021Q4,85,6420000000,30740000000,66500000,32269,12172000000,109246,14700000000,1464000000,1827000000
2022Q1,86,6080000000,32020000000,70500000,31028,14657830000,112676,14500000000,1515000000,1905000000
2022Q2,75,6080000000,32020000000,70500000,31028,14657830000,112676,14500000000,1515000000,1905000000
2022Q3,72,6080000000,32020000000,70500000,31028,14657830000,112676,14500000000,1515000000,1905000000
2022Q4,70,6080000000,32020000000,70500000,31028,14657830000,112676,14500000000,1515000000,1905000000
