날짜,종가,시가,고가,저가,거래량,변동 %
2023-05-28,54.22,54.22,54.22,54.22,,0.00%
2023-05-21,54.22,55.32,55.71,52.99,10.87M,-1.99%
2023-05-14,55.32,55.3,55.67,53.94,7.60M,0.33%
2023-05-07,55.14,55,55.66,54.47,8.34M,0.40%
2023-04-30,54.92,55.24,55.41,53.38,8.19M,-0.81%
2023-04-23,55.37,57.09,57.21,53.85,9.82M,-2.81%
2023-04-16,56.97,54.87,57.99,54.86,19.22M,3.28%
2023-04-09,55.16,54.44,55.65,53.97,16.67M,0.47%
2023-04-02,54.9,54.37,55.08,54.03,11.05M,0.42%
2023-03-26,54.67,53.61,54.79,52.63,11.52M,3.01%
2023-03-19,53.07,52.67,54.43,52,13.47M,0.61%
2023-03-12,52.75,52.46,53.85,51.1,17.54M,0.29%
2023-03-05,52.6,56.34,56.71,52.2,12.04M,-6.44%
2023-02-26,56.22,57.61,57.75,55.06,11.30M,-1.45%
2023-02-19,57.05,57.93,58.02,56.51,8.83M,-2.58%
2023-02-12,58.56,59.89,60.14,58.08,7.89M,-1.78%
2023-02-05,59.62,60.03,60.28,58.51,9.45M,-1.54%
2023-01-29,60.55,60.48,60.99,58.97,11.32M,0.08%
2023-01-22,60.5,61.91,62.79,55.9,21.67M,-2.51%
2023-01-15,62.06,63.15,63.9,60.64,10.58M,-2.04%
2023-01-08,63.35,61.93,63.67,61.76,11.68M,2.76%
2023-01-01,61.65,61.53,62.66,60.12,6.95M,0.49%
2022-12-25,61.35,61.33,62.12,60.63,4.24M,0.11%
2022-12-18,61.28,60.42,61.86,60.06,7.91M,1.09%
2022-12-11,60.62,63.08,66.69,60.54,15.81M,-4.08%
2022-12-04,63.2,68.75,68.82,63.14,12.60M,-8.38%
2022-11-27,68.98,66.81,69.22,65.93,9.43M,2.73%
2022-11-20,67.15,65.56,67.73,65.19,5.12M,2.49%
2022-11-13,65.52,66.06,67.12,64.06,10.37M,-1.33%
2022-11-06,66.4,62.09,66.9,61.5,12.59M,7.27%
2022-10-30,61.9,62,62.97,60.21,9.68M,-0.61%
2022-10-23,62.28,58.04,62.33,57.93,9.30M,7.86%
2022-10-16,57.74,55.47,58.13,55.47,12.70M,5.46%
2022-10-09,54.75,57.92,58.71,54.66,9.99M,-5.05%
2022-10-02,57.66,56.97,60.4,56.6,8.62M,1.73%
2022-09-25,56.68,56.9,58.59,56.29,9.67M,-0.44%
2022-09-18,56.93,60.51,60.83,56.2,8.97M,-6.69%
2022-09-11,61.01,63.49,64.13,60.14,10.00M,-3.56%
2022-09-04,63.26,59.75,63.58,59.53,7.13M,6.00%
2022-08-28,59.68,60.32,61.24,58.8,10.60M,-1.66%
2022-08-21,60.69,62.04,62.59,60.67,8.55M,-2.69%
2022-08-14,62.37,63.25,64.79,62.12,10.70M,-1.74%
2022-08-07,63.47,60.7,63.51,60.58,7.14M,4.59%
2022-07-31,60.69,59.76,61.04,59.06,9.19M,0.65%
2022-07-24,60.3,57.58,60.45,56.67,14.34M,4.81%
2022-07-17,57.53,52.59,58.3,51.43,17.07M,9.89%
2022-07-10,52.36,52.01,53.32,50.51,10.98M,0.33%
2022-07-03,52.19,51.67,53.31,51.2,9.41M,0.62%
2022-06-26,51.86,53.27,53.32,50.33,11.51M,-2.32%
2022-06-19,53.09,50,53.33,50,15.36M,7.01%
2022-06-12,49.62,48.92,50.54,48.06,22.22M,-0.89%
2022-06-05,50.06,51.74,52.25,49.58,12.01M,-2.52%
2022-05-29,51.36,51.43,52.13,50.47,11.08M,-1.01%
2022-05-22,51.88,49.15,51.9,48.03,12.62M,6.51%
2022-05-15,48.71,49.1,49.75,46.77,16.30M,-0.92%
2022-05-08,49.16,50.2,50.22,47.07,13.50M,-3.15%
2022-05-01,50.76,52.42,53.47,50.19,14.03M,-3.23%
2022-04-24,52.46,55.34,55.8,52.35,19.27M,-5.68%
2022-04-17,55.62,59.18,60.4,55.59,12.65M,-6.55%
2022-04-10,59.52,60.79,61.43,59.48,6.93M,-2.66%
2022-04-03,61.14,60.74,61.56,59.86,11.51M,0.82%
2022-03-27,60.64,58.34,61.29,58.34,11.26M,3.79%
2022-03-20,58.43,59.74,59.82,57.78,7.52M,-2.20%
2022-03-13,59.74,55.36,59.97,55.07,11.45M,8.71%
2022-03-06,54.96,57.11,57.33,54.15,15.84M,-3.88%
2022-02-27,57.18,56.87,57.91,56.32,13.06M,-0.69%
2022-02-20,57.57,56.17,57.74,53.67,12.28M,0.69%
2022-02-13,57.18,57.55,58.78,56.73,14.11M,-0.48%
2022-02-06,57.46,60.22,60.9,57.29,13.70M,-3.50%
2022-01-30,59.54,58.45,60.92,58.33,12.57M,2.27%
2022-01-23,58.22,58.13,59.06,55.6,22.43M,-1.28%
2022-01-16,58.97,61.16,61.69,58.78,16.16M,-4.95%
2022-01-09,62.05,63.95,64.93,61.11,18.34M,-3.81%
2022-01-02,64.5,70.29,70.29,63.68,16.22M,-7.86%
2021-12-26,70,68.77,70.55,68.61,6.13M,2.23%
2021-12-19,68.47,66.14,68.91,65.25,6.37M,2.16%
2021-12-12,67.02,68.73,69.1,65.87,13.31M,-2.29%
2021-12-05,68.59,66.9,69.23,65.35,9.42M,2.83%
2021-11-28,66.71,68.89,70.11,65.38,14.26M,-1.75%
2021-11-21,67.89,69.49,70.15,67.68,6.67M,-1.97%
2021-11-14,69.26,69.7,71.21,69.11,8.50M,-0.31%
2021-11-07,69.47,71.37,71.4,68.16,12.35M,-2.07%
2021-10-31,70.94,70.34,71.65,68.88,9.88M,1.41%
2021-10-24,69.96,67.15,70.22,65.96,10.43M,4.04%
2021-10-17,67.24,67.61,69.93,65.55,17.90M,-0.64%
2021-10-10,67.67,65.53,67.81,65.05,11.61M,2.85%
2021-10-03,65.8,64.49,66.38,62.91,12.69M,1.89%
2021-09-26,64.58,65.55,65.78,63.13,14.82M,-1.55%
2021-09-19,65.59,63.22,65.71,62.84,9.99M,2.01%
2021-09-12,64.3,65.55,66,63.67,9.46M,-1.60%
2021-09-05,65.35,66.56,66.63,65.02,6.20M,-1.25%
2021-08-29,66.18,64.79,66.56,64.53,8.57M,2.61%
2021-08-22,64.49,63.1,64.5,63.1,6.10M,2.55%
2021-08-15,62.89,63.77,64.09,61.14,9.62M,-1.21%
2021-08-08,63.66,62.94,63.82,62.56,6.94M,1.20%
2021-08-01,62.91,62.77,63.56,62.34,9.27M,1.07%
2021-07-25,62.24,62.37,62.72,61.38,9.36M,-0.55%
2021-07-18,62.59,59.23,62.83,58.64,15.34M,5.16%
2021-07-11,59.52,58.59,60.33,58.59,12.95M,1.58%
2021-07-04,58.59,59.43,59.47,57.86,7.64M,-1.19%
2021-06-27,59.29,59.5,59.57,58.39,14.70M,-0.11%
2021-06-20,59.36,58.94,59.91,58.63,12.95M,1.29%
2021-06-13,58.6,57.5,60.18,57.17,15.75M,1.65%
2021-06-06,57.65,56.97,57.68,56.02,9.51M,1.60%
2021-05-30,56.74,56.07,56.8,54.76,8.84M,1.65%
2021-05-23,55.82,54.78,55.95,54.6,7.62M,2.19%
2021-05-16,54.62,54.73,54.96,53.15,10.30M,-0.30%
2021-05-09,54.79,55.25,55.6,52.24,11.15M,-0.12%
2021-05-02,54.85,54.03,54.97,53.27,10.52M,1.87%
2021-04-25,53.85,54.27,54.28,52.9,8.83M,-0.57%
2021-04-18,54.16,53.29,54.42,52.36,12.80M,1.44%
2021-04-11,53.39,52.13,53.84,51.9,10.04M,2.61%
2021-04-04,52.03,50.33,52.12,50.02,9.67M,3.48%
2021-03-28,50.28,49.94,50.51,49,8.30M,0.09%
2021-03-21,50.24,48.58,50.27,48.25,13.38M,3.42%
2021-03-14,48.58,48.1,49.03,47.45,21.39M,0.91%
2021-03-07,48.14,48.3,49.85,47.58,14.32M,-0.19%
2021-02-28,48.23,46.56,48.37,45.19,12.96M,4.64%
2021-02-21,46.1,47.81,47.85,45.93,12.28M,-4.25%
2021-02-14,48.14,47.68,48.61,47.13,9.02M,1.72%
2021-02-07,47.33,47.7,48.13,47.05,7.17M,-0.42%
2021-01-31,47.53,45.51,48.47,45.17,12.48M,5.41%
