Date,Close,Volume,PriceRange
2003-01-03,14.19,5012800,1.34
2003-01-10,13.16,10758000,1.43
2003-01-17,13.16,6952500,0.37
2003-01-24,13.43,8995500,0.89
2003-01-31,14.12,7266300,0.99
2003-02-07,13.73,7099200,0.52
2003-02-14,12.85,10071400,1.47
2003-02-21,13.54,4246000,0.71
2003-02-28,13.34,5531800,0.71
2003-03-07,12.74,5759300,0.77
2003-03-14,11.34,14519400,1.54
2003-03-21,12.73,8434400,1.46
2003-03-28,12.95,6481200,0.8
2003-04-04,13.06,5294200,0.71
2003-04-11,12.62,6071000,1.06
2003-04-17,12.61,5720700,0.46
2003-04-25,13.1,11927800,1.25
2003-05-02,13.92,8064300,1.13
2003-05-09,14.53,5957700,0.92
2003-05-16,14.93,6545000,0.53
2003-05-23,14.32,7563200,0.97
2003-05-30,15.21,7480000,0.99
2003-06-06,16.75,9159300,2.24
2003-06-13,16.07,6798000,0.69
2003-06-20,17.01,7509400,0.79
2003-06-27,16.91,7543300,0.62
2003-07-03,17.27,4668900,0.76
2003-07-11,16.84,6533600,1.23
2003-07-18,16.68,4411900,0.59
2003-07-25,15.57,8129000,1.18
2003-08-01,15.11,9871900,1.34
2003-08-08,14.66,7314900,1
2003-08-15,14.99,3205100,0.46
2003-08-22,14.39,5405700,0.67
2003-08-29,14.12,9356200,0.84
2003-09-05,13.3,8785100,1.14
2003-09-12,14.26,8267300,0.95
2003-09-19,13.3,19618300,1.43
2003-09-26,13,9214900,0.55
2003-10-03,13.72,7804700,1.03
2003-10-10,13.58,8217400,0.86
2003-10-17,13.89,4048300,0.29
2003-10-24,13.83,8134700,0.75
2003-10-31,13.77,5896600,0.49
2003-11-07,14.81,13431497,1.62
2003-11-14,15.57,7863400,1.15
2003-11-21,15.27,5221500,0.7
2003-11-28,15.35,3608900,0.2
2003-12-05,15.77,4846400,0.7
2003-12-12,15.01,5675300,0.84
2003-12-19,15.41,4497700,0.41
2003-12-26,15.46,1421000,0.32
2004-01-02,13.1,22648200,2.83
2004-01-09,13.49,13600100,0.64
2004-01-16,13.45,8230100,0.44
2004-01-23,13.65,7134000,0.42
2004-01-30,13.35,8927300,0.74
2004-02-06,13.49,7709200,0.27
2004-02-13,13.73,5512700,0.48
2004-02-20,13.8,3683200,0.25
2004-02-27,14.08,4636300,0.65
2004-03-05,14.15,3230000,0.36
2004-03-12,13.64,7139400,0.81
2004-03-19,13.05,4892500,0.69
2004-03-26,12.98,8838600,0.57
2004-04-02,13.29,5808400,0.4
2004-04-09,13.26,3487300,0.19
2004-04-16,13.45,4352400,0.34
2004-04-23,14.07,6475900,0.78
2004-04-30,14.08,6636200,0.66
2004-05-07,14.77,7551800,1
2004-05-14,14.31,6770500,0.59
2004-05-21,14.06,5002900,0.45
2004-05-28,14.55,5499100,0.88
2004-06-04,14.92,3928600,0.47
