Date,Close,Volume,PriceRange
2003-01-03,12.95,8439500,1.19
2003-01-10,12.66,11583000,0.83
2003-01-17,12.68,6677900,0.3
2003-01-24,11.9,7540400,0.99
2003-01-31,11.31,17205000,0.91
2003-02-07,12.45,21163800,1.21
2003-02-14,12.5,15501800,0.83
2003-02-21,12.99,8441900,0.47
2003-02-28,12.45,11976400,0.72
2003-03-07,12.67,14867100,0.67
2003-03-14,12.72,8441200,0.75
2003-03-21,13.34,12890900,0.91
2003-03-28,12.45,7941200,0.91
2003-04-04,12.04,15639000,1.05
2003-04-11,11.85,9322500,0.62
2003-04-17,11.6,11763000,1
2003-04-25,11.98,12480200,0.57
2003-05-02,12.65,14169600,0.92
2003-05-09,13.3,19831500,0.77
2003-05-16,13.06,12250600,0.9
2003-05-23,13.06,10295100,0.75
2003-05-30,13.05,9501100,0.51
2003-06-06,13.59,10888800,0.79
2003-06-13,13.93,8342800,0.81
2003-06-20,13.76,11458400,0.89
2003-06-27,13.9,13707200,1.09
2003-07-03,14.04,7693000,0.35
2003-07-11,14.3,11198600,0.65
2003-07-18,13.72,11431100,1.03
2003-07-25,13.99,6418100,0.45
2003-08-01,14.98,15247900,1.44
2003-08-08,15.03,7738500,0.62
2003-08-15,15.4,7185600,0.55
2003-08-22,15.61,8298000,0.44
2003-08-29,16.3,9341900,1.14
2003-09-05,15.6,8556900,0.86
2003-09-12,15.1,11833400,0.77
2003-09-19,15.69,8134800,0.72
2003-09-26,15.59,10053800,0.61
2003-10-03,16.06,9799700,1
2003-10-10,17.2,14037500,2.74
2003-10-17,16.92,9456700,0.77
2003-10-24,16.85,8676600,0.61
2003-10-31,17.59,13686700,0.79
2003-11-07,18.11,9659905,0.81
2003-11-14,17.71,9731600,1.55
2003-11-21,17.93,9038000,0.89
2003-11-28,18.73,6824500,0.81
2003-12-05,17.52,15024800,1.59
2003-12-12,17.13,13764400,1.22
2003-12-19,17.28,9984300,0.94
2003-12-26,17.35,3877700,0.76
2004-01-02,17.89,5872300,0.96
2004-01-09,17.7,11142400,0.75
2004-01-16,18.25,12319700,1.77
2004-01-23,18.15,6825200,0.66
2004-01-30,17.86,8984600,0.79
2004-02-06,18.06,8885300,0.6
2004-02-13,18.75,10834900,1.51
2004-02-20,18.24,8129400,0.86
2004-02-27,18.75,8523600,1.01
2004-03-05,18.57,8436000,0.5
2004-03-12,17.65,7762200,1.44
2004-03-19,17.28,9046200,0.81
2004-03-26,17.5,10592900,0.71
2004-04-02,17.39,10441900,0.81
2004-04-09,18.23,18799500,1.13
2004-04-16,18.81,16602600,1.02
2004-04-23,19.5,12790400,0.99
2004-04-30,19.32,10418600,0.75
2004-05-07,20.47,19326100,1.27
2004-05-14,20.13,14263700,1.03
2004-05-21,19.93,9785400,0.83
2004-05-28,20.86,9411700,1.43
2004-06-04,20.97,5849000,0.59
2004-06-11,21.26,6636100,0.76
2004-06-18,20.98,8580900,0.81
2004-06-25,20.67,8822400,0.67
2004-07-02,20.83,8899500,0.57
2004-07-09,21.54,7218300,1.17
2004-07-16,21.24,8690100,0.84
2004-07-23,20.98,8468400,1.28
2004-07-30,20.94,8560400,0.84
2004-08-06,19.64,9368100,1.89
2004-08-13,19.58,8591900,0.64
2004-08-20,20.01,7435200,0.67
2004-08-27,20.34,5337900,0.79
2004-09-03,20.33,7969000,0.8
2004-09-10,20.18,5843200,0.54
2004-09-17,20.54,7264600,0.61
2004-09-24,21.14,8486500,1.31
2004-10-01,21.63,11060500,0.87
2004-10-08,21.36,7549500,0.74
2004-10-15,21.63,6734500,0.76
2004-10-22,21.14,7684100,1.17
2004-10-29,21.73,7489500,1.35
2004-11-05,23.1,15222400,2.27
2004-11-12,23.18,9857800,1.12
2004-11-19,22.9,8640600,0.64
2004-11-26,22.87,4877900,0.4
2004-12-03,22.88,9065300,0.7
2004-12-10,22.57,9389900,1.04
2004-12-17,22.08,10753900,0.82
2004-12-24,22.51,5926600,0.72
2004-12-31,22.54,6059600,0.47
2005-01-07,22.88,10218200,0.96
2005-01-14,23.5,11372200,0.79
2005-01-21,22.95,7997900,0.9
2005-01-28,22.91,8574700,0.54
2005-02-04,24.93,16948800,2.06
2005-02-11,24.95,9076900,0.8
2005-02-18,24.32,8188800,0.92
2005-02-25,24.94,6240600,1.14
2005-03-04,26.29,17384600,2.08
2005-03-11,26.43,10316500,0.93
2005-03-18,26.43,8536300,0.8
2005-03-25,26.73,7129900,0.94
2005-04-01,25.78,10878300,1.07
2005-04-08,25.83,10281900,0.78
2005-04-15,25.93,9567400,0.76
2005-04-22,25.25,11429900,1.33
2005-04-29,25.79,10575300,1.09
2005-05-06,26.84,13233800,1.54
2005-05-13,26.86,9750800,0.93
2005-05-20,27.5,11774400,0.84
2005-05-27,27.48,10394600,0.34
2005-06-03,28.64,13937300,1.48
2005-06-10,29.03,20379700,0.95
2005-06-17,29.54,19214400,0.9
2005-06-24,28.7,19276700,1.07
2005-07-01,29.05,18725400,1.08
2005-07-08,30.26,16094600,1.44
2005-07-15,30.56,22650600,0.98
2005-07-22,30.42,15600400,1.04
2005-07-29,31.03,15567300,1.6
2005-08-05,29.93,21741300,2.06
2005-08-12,29.52,16899600,1.46
2005-08-19,28.85,16120000,1.27
2005-08-26,28.98,18628400,1.27
2005-09-02,28.97,16496600,1.45
2005-09-09,29.49,14687600,1.71
2005-09-16,29.85,17827400,1.66
2005-09-23,28.48,25095200,2.18
2005-09-30,29.01,20253400,1.25
2005-10-07,25.58,48250800,3.99
2005-10-14,24.98,42002600,1.69
2005-10-21,26.13,31199800,2.15
2005-10-28,25.12,27928300,2.05
2005-11-04,27.02,51990000,3.18
2005-11-11,27.08,24304700,0.85
2005-11-18,26.92,20776700,1.1
2005-11-25,27.96,16224200,1.55
2005-12-02,27.28,20101500,1.15
2005-12-09,27.91,25863000,0.94
2005-12-16,28.26,19758600,1.41
2005-12-23,27.14,20101200,1.35
2005-12-30,26.42,12962500,0.91
2006-01-06,27.14,26669200,1.37
2006-01-13,26.75,23100700,0.87
2006-01-20,27.13,19893700,1.03
2006-01-27,28.07,35292600,2.07
2006-02-03,29.23,33619000,1.95
2006-02-10,27.9,16851400,1.61
2006-02-17,28.6,16600100,1.59
2006-02-24,28.21,11814900,0.81
2006-03-03,28.7,15725800,1.62
2006-03-10,30.4,25830300,2.84
2006-03-17,29.6,25626100,1.33
2006-03-24,29.05,16133300,1.59
2006-03-31,29.87,17788000,0.98
2006-04-07,31.18,23387900,2.47
2006-04-14,30.67,12694400,1.49
2006-04-21,29.38,18994400,1.82
2006-04-28,29.72,25430800,1.22
2006-05-05,30.96,20584700,1.3
2006-05-12,29.26,16049000,2.2
2006-05-19,28.62,21418800,1.43
2006-05-26,28.59,27666100,2.69
2006-06-02,29.24,18613200,1.64
2006-06-09,29.21,24175700,1.45
2006-06-16,30.19,26642700,1.93
2006-06-23,29.2,18613900,1.22
2006-06-30,30.7,21981300,1.84
2006-07-07,30.46,9926000,0.86
2006-07-14,31.68,31295200,1.91
2006-07-21,31.99,31778900,1.64
2006-07-28,32.59,21275500,1.6
2006-08-04,33.8,28379600,2.02
2006-08-11,33.97,19796400,1.16
2006-08-18,33.87,19772100,1.46
2006-08-25,32.96,17971600,1.46
2006-09-01,33.96,18988900,1.14
2006-09-08,35.5,19273600,1.36
2006-09-15,34.74,27373500,1.58
2006-09-22,33.03,67816300,4.07
2006-09-29,32.12,60772000,2.44
2006-10-06,29.32,95890500,3.78
2006-10-13,31.09,97469900,3.38
2006-10-20,30.69,38908300,1.11
2006-10-27,31.2,32133100,1.57
2006-11-03,28.79,134831400,3.37
2006-11-10,28.96,111714400,1.58
2006-11-17,29.07,95446800,0.94
2006-11-24,27.97,62304400,1.25
2006-12-01,28.67,89601300,1.89
2006-12-08,30.23,56443800,1.87
2006-12-15,30.52,51967400,1.52
2006-12-22,31.25,96898500,2.39
2006-12-29,30.91,19006500,0.69
2007-01-05,31.17,30683200,0.93
