Date,Close,Volume,PriceRange
2003-01-03,44.99,9222100,3.74
2003-01-10,44.36,11254900,1.52
2003-01-17,43.08,12516200,1.61
2003-01-24,40.94,15195700,3.46
2003-01-31,41.88,14403100,2.69
2003-02-07,40.54,12065900,2.08
2003-02-14,40.38,20833700,4.09
2003-02-21,43.05,11417600,2.8
2003-02-28,41.14,14827300,2.49
2003-03-07,40.04,10566000,2.71
2003-03-14,36.12,22955200,3.71
2003-03-21,41.48,19835000,5.75
2003-03-28,41.44,12909000,2.09
2003-04-04,42.03,14846400,2.37
2003-04-11,40.53,12909000,3.1
2003-04-17,40.72,10152100,1.67
2003-04-25,38.54,31378400,4.23
2003-05-02,40.47,15190800,2.66
2003-05-09,41.43,12599600,1.67
2003-05-16,42.13,14497300,1.05
2003-05-23,40.96,12883400,1.94
2003-05-30,41.44,9714200,1.64
2003-06-06,46.29,22897700,5.46
2003-06-13,44.88,12734900,2.16
2003-06-20,47.53,15207400,3.55
2003-06-27,46.53,12659300,2.5
2003-07-03,47.41,10134700,3
2003-07-11,46.53,11170300,2.76
2003-07-18,46.82,9942000,1.12
2003-07-25,46.82,9176500,1.36
2003-08-01,40.28,37909000,8.88
2003-08-08,42.33,21380400,2.34
2003-08-15,43.1,16041700,1.04
2003-08-22,41.53,17576700,2.33
2003-08-29,40.88,16260500,1.68
2003-09-05,40.47,9185800,1.45
2003-09-12,41.29,8565200,1.21
2003-09-19,42.08,10318500,1.55
2003-09-26,41.4,10127400,1.07
2003-10-03,41.68,15618100,1.21
2003-10-10,41.83,9443900,2.45
2003-10-17,42.02,6826400,0.67
2003-10-24,42.01,17125700,2.14
2003-10-31,42.61,8946700,1.15
2003-11-07,40.92,12711383,2.8
2003-11-14,43.8,11066400,3.26
2003-11-21,43.77,7897400,1.19
2003-11-28,43.9,5309700,0.9
2003-12-05,45.13,7048100,1.82
2003-12-12,45.76,5941300,1.33
2003-12-19,44.32,12812600,2.28
2003-12-26,44.84,6000100,1.04
2004-01-02,42.85,14314700,2.82
2004-01-09,43.12,13651000,1.09
2004-01-16,43.06,12293200,1.26
2004-01-23,45.65,16146900,3.54
2004-01-30,46.03,11817200,1.4
2004-02-06,46.33,9926300,1.43
2004-02-13,46.96,7799600,1.71
2004-02-20,46.51,5009000,1.06
2004-02-27,46.84,5831100,1.33
2004-03-05,48.37,8058800,2.17
2004-03-12,47.93,11196500,1.44
2004-03-19,46.82,7708800,1.22
2004-03-26,48.36,12258700,2.97
2004-04-02,50.19,8211000,2.04
2004-04-09,50.33,6095000,0.96
2004-04-16,51.09,8778400,1.08
2004-04-23,51.79,12268200,2.46
2004-04-30,52.7,8988100,2.05
2004-05-07,54.24,10240600,2.67
2004-05-14,52.73,9917500,2.4
2004-05-21,47.7,22945900,4.9
2004-05-28,48.62,9473100,2.34
2004-06-04,49.02,5621400,0.85
2004-06-11,49.24,4009800,0.82
2004-06-18,48.98,6425600,1.28
