Date,Close,Volume,PriceRange
2003-01-03,13.79,6171200,0.57
2003-01-10,14.77,7420300,1.27
2003-01-17,15.41,5550000,0.85
2003-01-24,14.5,3720300,1.04
2003-01-31,14.56,5692100,0.81
2003-02-07,14.34,11729000,1.63
2003-02-14,14.01,6824500,1.05
2003-02-21,14.4,4942600,0.61
2003-02-28,14.32,6096100,0.5
2003-03-07,14.02,5060100,0.84
2003-03-14,13.96,5520200,1.09
2003-03-21,15.43,6476700,1.6
2003-03-28,15.27,3873700,0.54
2003-04-04,16.07,5351300,1.45
2003-04-11,15.66,3885900,1.35
2003-04-17,15.88,3376200,0.8
2003-04-25,16.28,4878900,1.3
2003-05-02,16.93,9860300,1.7
2003-05-09,17.15,6646200,1.12
2003-05-16,18.12,5374300,1.15
2003-05-23,18.23,5347000,0.98
2003-05-30,18.7,3640600,0.76
2003-06-06,17.14,9616700,2.34
2003-06-13,15.62,8301100,1.69
2003-06-20,16.34,9463900,1.13
2003-06-27,15.72,3566800,0.63
2003-07-03,15.62,3616700,0.65
2003-07-11,14.83,8580200,2
2003-07-18,13.7,15769100,1.04
2003-07-25,13.84,4654700,0.56
2003-08-01,15.18,14018100,2.06
2003-08-08,14.83,8031900,0.72
2003-08-15,14.98,3699700,0.46
2003-08-22,15.45,5487500,1.17
2003-08-29,15.89,5614200,1.03
2003-09-05,16.35,5302400,1.11
2003-09-12,15.97,4607300,0.55
2003-09-19,15.72,3765000,0.39
2003-09-26,14.77,5309000,1.11
2003-10-03,15.32,7537400,0.96
2003-10-10,15.55,6756000,0.52
2003-10-17,15.75,5358900,0.39
2003-10-24,15.59,4099400,0.54
2003-10-31,19.02,15564300,3.6
2003-11-07,19.27,10326800,1.24
2003-11-14,18.68,5149900,0.65
2003-11-21,17.96,5748700,1.34
2003-11-28,17.88,3168300,0.4
2003-12-05,18.49,4306700,1.18
2003-12-12,18.84,3223900,0.87
2003-12-19,18.37,3687800,0.75
2003-12-26,18.65,1818200,0.51
2004-01-02,19.12,3441300,0.71
2004-01-09,19.09,4612600,0.48
2004-01-16,19.47,5022000,0.72
2004-01-23,20.18,4448900,1.23
2004-01-30,20.67,4650700,1.03
2004-02-06,18.85,13466800,2.48
2004-02-13,17.68,11808200,1.35
2004-02-20,18.36,5303400,0.77
2004-02-27,18.48,4678700,0.32
2004-03-05,18.72,3689000,0.52
2004-03-12,18.38,3620700,0.62
2004-03-19,19.06,5153200,0.93
2004-03-26,19.14,4124400,0.82
2004-04-02,20.22,4481100,1.23
2004-04-09,22.83,11242900,1.59
2004-04-16,21.74,6810300,1.8
2004-04-23,22.25,6144900,0.75
2004-04-30,21.21,6434300,1.89
2004-05-07,22.05,6719000,1
2004-05-14,22.4,6906400,1.4
2004-05-21,21.85,4755200,0.75
2004-05-28,22.6,4284900,1.06
2004-06-04,22.96,3469300,0.64
2004-06-11,22.96,2563600,0.48
2004-06-18,23.05,4234700,0.74
2004-06-25,22.4,5284000,0.94
2004-07-02,22.83,3737700,0.84
2004-07-09,21.91,3635100,1.09
2004-07-16,21.9,4295300,0.82
2004-07-23,20.98,3285000,1.11
2004-07-30,20.59,5578700,1.12
2004-08-06,19.76,7280500,1.86
2004-08-13,20.9,4569700,1.26
2004-08-20,21.48,4188600,0.63
2004-08-27,22.1,3617400,0.93
2004-09-03,22.95,4064100,1.04
2004-09-10,22.66,4293000,0.76
2004-09-17,23.16,4674000,0.87
2004-09-24,22.43,5271400,1.08
2004-10-01,23.53,4436600,1.06
2004-10-08,23.31,6115500,1.05
2004-10-15,22.36,6159400,1.79
2004-10-22,19.62,18191100,3.07
2004-10-29,21.15,7042600,1.94
2004-11-05,21.92,7768200,1.55
2004-11-12,23.31,7347900,1.66
2004-11-19,22.71,5968700,1.29
2004-11-26,23.43,3410500,1.25
2004-12-03,24.95,9840800,3.05
2004-12-10,27,7592000,2.52
2004-12-17,26.37,6787800,0.99
2004-12-24,26.66,4085500,0.49
2004-12-31,27.19,3373000,1.21
2005-01-07,26.27,6133200,1.28
2005-01-14,27.78,6335200,1.58
