Date,Close,Volume,PriceRange
2003-01-03,36.83,4770100,2.12
2003-01-10,34.78,8060100,2.39
2003-01-17,34.9,9374100,1.84
2003-01-24,34.99,5653700,1.31
2003-01-31,36.34,5636800,2.3
2003-02-07,34,8322900,2.59
2003-02-14,32.24,15377000,2.73
2003-02-21,33.42,5059100,1.4
2003-02-28,34.01,5084800,1.81
2003-03-07,34.69,6381100,1.67
2003-03-14,33.71,4683500,1.98
2003-03-21,36.51,4977200,2.81
2003-03-28,38.28,6824800,2.69
2003-04-04,38.51,8477900,2.02
2003-04-11,38.4,7234900,1.73
2003-04-17,37.43,11961300,2.66
2003-04-25,37.13,12076000,2.17
2003-05-02,38.24,7432500,1.8
2003-05-09,38.75,6950800,1.56
2003-05-16,40.53,6560500,2.51
2003-05-23,42.4,11972200,3.06
2003-05-30,42.67,6168200,1.51
2003-06-06,42.68,7435100,2.29
2003-06-13,43.44,5045000,2.17
2003-06-20,42.98,6722200,3.15
2003-06-27,42.4,4418800,1.83
2003-07-03,41.85,3428800,1.69
2003-07-11,42.13,4516200,1.43
2003-07-18,40.85,8460200,3.55
2003-07-25,42.97,7999600,3.28
2003-08-01,41.32,8684500,3.35
2003-08-08,39.75,9852200,3.42
2003-08-15,39.86,3240100,1.56
2003-08-22,37.83,6262400,2.49
2003-08-29,39,5188400,1.95
2003-09-05,38.98,3462400,1.14
2003-09-12,40.3,4208400,1.43
2003-09-19,38.74,5202900,1.8
2003-09-26,37.3,5422300,1.76
2003-10-03,40.51,5887700,3.55
2003-10-10,40.32,3009000,1.29
2003-10-17,41.25,4555800,1.88
2003-10-24,41.97,4947300,1.49
2003-10-31,44.45,34077400,3.1
2003-11-07,43.48,10446045,1.57
2003-11-14,44.55,8692900,2.49
2003-11-21,44.55,5623300,1.13
2003-11-28,46.75,3386800,2.16
2003-12-05,46.89,5045300,2.3
2003-12-12,47.51,4101600,1.39
2003-12-19,47.27,3921700,1.37
2003-12-26,47.63,1911200,0.98
2004-01-02,49.01,2584100,1.33
2004-01-09,47.68,5613700,1.45
2004-01-16,50.23,4894900,2.98
2004-01-23,50.88,4666500,2.14
2004-01-30,52.5,5311100,2.65
2004-02-06,52.87,4825100,1.9
2004-02-13,53.25,3722100,1.43
2004-02-20,52.4,2279900,1.64
2004-02-27,54.39,3519300,2.49
2004-03-05,56.41,4159600,3.2
2004-03-12,55.75,3561500,1.71
2004-03-19,55.9,3191000,1.5
2004-03-26,55.68,4140900,1.71
2004-04-02,57.39,2919100,1.96
2004-04-09,58.35,2185600,1.21
2004-04-16,55.53,5706200,4.21
2004-04-23,58.7,4952600,3.75
2004-04-30,56.18,3683500,3.7
2004-05-07,55.95,3347900,2.78
2004-05-14,56.26,3416700,1.97
2004-05-21,54.7,3737400,2.65
2004-05-28,55.77,5200200,1.55
2004-06-04,56.36,3256600,1.4
2004-06-11,56.86,7048000,1.27
2004-06-18,56.53,3216200,1.07
2004-06-25,55.68,4811500,2.3
2004-07-02,55.49,8137300,1.88
2004-07-09,54.49,8332300,2.17
2004-07-16,57.43,7872200,3.26
2004-07-23,54.89,4751600,2.77
2004-07-30,50.55,19590700,4.34
2004-08-06,48.52,4967100,2.34
2004-08-13,49.56,4180900,1.8
2004-08-20,49.34,3290100,1.35
2004-08-27,48.92,3247300,1.3
2004-09-03,49.1,3896900,0.98
2004-09-10,50.45,3020900,1.38
2004-09-17,51.73,4523800,2.36
2004-09-24,51.91,3373500,1.28
2004-10-01,52.27,4450200,1.71
2004-10-08,51.27,4021800,1.94
2004-10-15,49.26,5732400,3.31
2004-10-22,45.09,18737400,6.25
2004-10-29,48.83,13322000,5.07
2004-11-05,52.33,8735100,4.77
2004-11-12,58.82,24518900,6.92
2004-11-19,60,8166200,2.02
2004-11-26,61.11,2437100,1.83
2004-12-03,53.24,17873000,11.04
