Date,Close,Volume,PriceRange
2003-01-03,28.07,5100300,2.4
2003-01-10,28.18,4478500,0.74
2003-01-17,28.5,4851900,1.23
2003-01-24,27.85,7660000,1.99
2003-01-31,28.43,5827400,1.85
2003-02-07,27.05,6898100,2.07
2003-02-14,26.05,12217100,4.25
2003-02-21,27.49,5962900,1.49
2003-02-28,26.64,5675600,1.51
2003-03-07,25.7,5939500,1.65
2003-03-14,22.99,12736300,2.91
2003-03-21,25.41,12265600,2.49
2003-03-28,25.35,5983000,1.26
2003-04-04,25.23,9271400,2.05
2003-04-11,24.5,7184900,1.75
2003-04-17,24.05,6206600,1.34
2003-04-25,23.94,11251600,1.85
2003-05-02,29.12,14525400,5.51
2003-05-09,28.5,9188100,1.39
2003-05-16,29.42,6558800,1.07
2003-05-23,29.38,7991600,1.89
2003-05-30,30.32,5933300,1.49
2003-06-06,33,7563100,3.64
2003-06-13,34.55,8982600,2.9
2003-06-20,35.98,12322900,2.31
2003-06-27,35.86,8011900,1.53
2003-07-03,35.01,6500500,2.02
2003-07-11,36.12,5225200,1.31
2003-07-18,35.9,5712900,0.79
2003-07-25,34.94,7037600,2.02
2003-08-01,32.93,10182300,2.73
2003-08-08,32.98,6274600,1.2
2003-08-15,33.7,3605000,1.07
2003-08-22,33.79,4940200,0.92
2003-08-29,32.74,5405400,1.68
2003-09-05,34.3,6202500,2.43
2003-09-12,34.44,3766100,0.96
2003-09-19,35.37,7946000,2.26
2003-09-26,33.6,5101000,2.05
2003-10-03,34.14,5757100,1.79
2003-10-10,33.15,7414100,1.37
2003-10-17,33.63,6083600,1.25
2003-10-24,32.07,14914600,3.83
2003-10-31,30.27,15258200,2.49
2003-11-07,28.54,15577138,1.98
2003-11-14,29.95,12401500,1.8
2003-11-21,28.26,10520500,1.9
2003-11-28,29.2,7779400,0.86
2003-12-05,30.35,9462700,1.64
2003-12-12,30.97,7038700,0.94
2003-12-19,31.39,8168900,0.91
2003-12-26,31.01,3913000,0.94
2004-01-02,30.86,13243000,2.34
2004-01-09,29.72,16384600,1.75
2004-01-16,30.12,11986100,1.66
2004-01-23,29.3,14804000,2.87
2004-01-30,29.38,11185200,0.85
2004-02-06,29.43,7973400,0.88
2004-02-13,28.61,10664000,0.94
2004-02-20,28.2,5861000,1.08
2004-02-27,27.31,7594500,1.25
2004-03-05,28.43,8786100,1.25
2004-03-12,28.05,7603500,1
2004-03-19,27.76,6964500,0.76
2004-03-26,29.4,11983700,3.37
2004-04-02,30.38,9947200,1.65
2004-04-09,31.14,5186900,0.83
2004-04-16,31.88,8023500,1.55
2004-04-23,31.92,10614800,1.9
2004-04-30,32.66,13137700,3.49
2004-05-07,33.22,17549600,1.77
2004-05-14,33.96,10319700,2.1
2004-05-21,33.61,8344900,1.42
2004-05-28,34.4,9513900,1.64
2004-06-04,33.99,3817800,0.77
2004-06-11,34.92,4473100,1.18
2004-06-18,35.22,8482200,1.23
2004-06-25,33.85,5852300,1.64
2004-07-02,30.49,12831200,4.44
2004-07-09,29.7,6340700,1.28
