Date,Close,Volume,PriceRange,S&P Close,Gold,Dolla Strength,NASDAQ,High,Low
2003-01-03,30.11,57403600,1.72,927.57,355.3,101.56,3.08,30.15,28.43
2003-01-10,29.18,77590600,1.39,901.78,357.3,100.89,3.17,30.44,29.05
2003-01-17,28.46,91443000,1.99,861.4,369,99.45,3.07,29.47,27.48
2003-01-24,28.66,84805000,1.43,855.7,369.1,100.14,3.03,29.93,28.5
2003-01-31,28.76,98894600,1.19,829.69,370.5,99.77,3.06,29.18,27.99
2003-02-07,27.76,80199900,2.17,834.89,352.2,100.25,2.67,29.56,27.39
2003-02-14,27.06,85509400,1.87,848.17,351.8,100.25,2.65,28.3,26.43
2003-02-21,27.42,57699600,1.2,841.15,350.7,99.81,2.58,28.01,26.81
2003-02-28,28.25,98806300,1.88,828.89,351.3,98.1,2.57,28.34,26.46
2003-03-07,28.4,76029500,1.49,833.27,337,100.05,2.33,28.56,27.07
2003-03-14,27.43,80908500,1.33,895.79,326.5,102.45,2.33,28.18,26.85
2003-03-21,30.28,105195700,3.14,863.5,332.4,100.35,2.32,30.31,27.17
2003-03-28,30.13,93400700,1.56,878.85,326,100.88,2,30.84,29.28
2003-04-04,31.07,101528000,1.97,868.3,328.5,100.56,1.77,31.35,29.38
2003-04-11,29.85,75631300,2.31,893.58,327.6,99.56,1.75,31.96,29.65
2003-04-17,29.71,85229700,5.39,898.81,333.7,98.62,1.97,30.92,25.53
2003-04-25,28.77,122713200,1.68,930.08,341.7,96.94,2.15,30.38,28.7
2003-05-02,29.89,122378000,1.21,933.41,349.3,95.16,2.08,30,28.79
2003-05-09,30.93,101443200,1.44,944.3,355.4,94.18,2.1,31.09,29.65
2003-05-16,31.84,94642300,1.03,933.22,369.3,93.13,1.95,31.97,30.94
2003-05-23,30.2,146230900,2.86,963.59,365.6,93.31,2.07,31.75,28.89
2003-05-30,29.39,87516800,1.22,987.76,364.5,93.56,2.13,30.4,29.18
2003-06-06,31.35,117244900,2.77,988.61,357.2,92.25,2.13,32.14,29.37
2003-06-13,31.34,91700500,0.98,995.69,356.7,94.45,2.38,32.14,31.16
2003-06-20,33.7,167474800,3.29,976.22,346.2,95.49,2.75,34.98,31.69
2003-06-27,33.16,97348600,1.08,985.7,351.7,94.75,2.75,34.16,33.08
2003-07-03,32.43,76190100,1.7,998.14,345.6,96.13,3.05,33.43,31.73
2003-07-11,32.4,87920500,1.42,993.32,347.8,96.82,2.97,33.01,31.59
2003-07-18,31.63,81204800,1.86,998.68,363.3,95.12,2.82,32.74,30.88
2003-07-25,31.3,88101300,1.78,980.15,347,96.87,2.83,32.11,30.33
2003-08-01,30.96,95279700,1.62,977.59,357.1,96.57,2.33,32.16,30.54
2003-08-08,31.23,68730900,0.99,990.67,363.8,96.8,2.48,31.55,30.56
2003-08-15,29.77,107034200,2.02,993.06,363.4,99,2.43,31.39,29.37
2003-08-22,27.99,153529800,2.16,"1,008.01",376.3,98.1,2.42,30.04,27.88
2003-08-29,28.34,91618800,0.73,"1,021.39",378.2,97.13,2.55,28.68,27.95
2003-09-05,28.9,95319700,1.05,"1,018.63",376.4,96.03,2.58,29.38,28.33
2003-09-12,30.22,97541800,1.27,"1,036.30",382.4,95.34,2.72,30.5,29.23
2003-09-19,29.79,95417400,1.07,996.85,381.3,94.25,2.75,30.67,29.6
2003-09-26,28.95,90159700,1.49,"1,029.85",370,93.53,2.69,30.15,28.66
2003-10-03,29.16,97161300,1.13,"1,038.06",374.1,91.79,2.71,29.79,28.66
2003-10-10,29.13,76122900,0.55,"1,039.32",372.2,92.6,2.96,29.41,28.86
2003-10-17,28.95,83203500,1.47,"1,028.91",389.2,91.51,2.94,29.42,27.95
2003-10-24,29.22,92978500,1.06,"1,050.71",385.1,92.88,2.93,29.95,28.89
2003-10-31,29.94,100968200,0.87,"1,053.21",383.9,93.2,3.05,29.95,29.08
2003-11-07,30.1,89895267,1.02,"1,050.35",398.5,91.6,3.08,30.41,29.39
2003-11-14,32.29,127587900,3.07,"1,035.28",396.6,90.75,3,32.67,29.6
2003-11-21,31.43,105334400,1.64,"1,058.20",398,90.28,2.97,32.68,31.04
2003-11-28,31.8,65502200,0.82,"1,061.50",407.3,89.19,3,32.32,31.5
2003-12-05,32.4,87479000,0.61,"1,074.14",410.1,88.46,2.87,32.68,32.07
2003-12-12,32.59,73641200,0.81,"1,088.66",409.9,88.53,2.97,32.92,32.11
2003-12-19,32.47,96667600,0.98,"1,095.89",412.8,87.93,3.07,33.2,32.22
2003-12-26,32.92,42498200,0.87,"1,108.48",416.6,86.93,3.08,33.1,32.23
2004-01-02,33.68,61564100,1.14,"1,121.86",427.3,85.39,3.44,34.06,32.92
2004-01-09,34.16,105070200,0.82,"1,139.83",407.6,88.05,3.6,34.88,34.06
2004-01-16,33.16,96971700,1.57,"1,141.55",408.6,86.85,3.47,34.24,32.67
2004-01-23,34.24,79605400,1.95,"1,131.13",402.9,87.42,2.95,34.64,32.69
2004-01-30,34.7,89367100,1.2,"1,142.76",404.2,86.2,3.03,34.93,33.73
2004-02-06,36.8,137631600,2.17,"1,145.81",410.8,85.68,3.05,36.84,34.67
2004-02-13,35.41,83020000,1.51,"1,144.11",398,87.4,3.02,36.8,35.29
2004-02-20,35.31,53284400,1.13,"1,144.94",397.3,87.42,2.97,35.96,34.83
