Date,Close,Volume,PriceRange
2003-01-03,21.65,7356500,1.4
2003-01-10,20.86,9356100,0.99
2003-01-17,21.09,10343000,0.96
2003-01-24,21.2,11869000,0.88
2003-01-31,21.98,11727400,1.39
2003-02-07,21.16,12185300,1.3
2003-02-14,20,15386400,1.9
2003-02-21,20.55,8009500,0.76
2003-02-28,20.73,10514500,1.07
2003-03-07,21.35,10490800,0.83
2003-03-14,20.91,9476300,0.98
2003-03-21,22.48,9878800,1.53
2003-03-28,23.04,9818800,1.08
2003-04-04,23.08,11303400,1.08
2003-04-11,23.23,10810500,0.97
2003-04-17,22.96,16388500,1.73
2003-04-25,22.68,12266100,1.05
2003-05-02,23.16,11446700,0.87
2003-05-09,23.37,7447900,0.58
2003-05-16,23.85,10068700,0.98
2003-05-23,23.87,13037600,0.99
2003-05-30,23.99,6861400,0.66
2003-06-06,24.47,9948900,1.2
2003-06-13,25.23,9283800,1.47
2003-06-20,25.3,16026000,1.47
2003-06-27,25.11,13345400,1.11
2003-07-03,25.46,7683500,1.07
2003-07-11,25.6,11419300,1.07
2003-07-18,26.22,24885500,2.6
2003-07-25,27.06,15772000,2.51
2003-08-01,26.25,24708200,2.33
2003-08-08,24.94,22722300,2.61
2003-08-15,25.61,9824500,0.93
2003-08-22,24.46,12044700,1.8
2003-08-29,24.72,11836000,0.92
2003-09-05,24.8,10546000,0.61
2003-09-12,24.95,10499300,0.74
2003-09-19,24.98,11759300,0.69
2003-09-26,24.17,12493100,1.07
2003-10-03,26.3,17105000,2.45
2003-10-10,26.09,9375000,0.85
2003-10-17,27,13272200,1.41
2003-10-24,27.13,12137900,1.12
2003-10-31,25.44,30034200,1.69
2003-11-07,23.93,22768444,1.9
2003-11-14,24.84,15203500,1.24
2003-11-21,25.86,16522900,1.48
2003-11-28,26.95,9804900,1.5
2003-12-05,26.68,11920100,1.03
2003-12-12,27.24,9485100,0.98
2003-12-19,28.03,14067300,1.1
2003-12-26,28.25,5607800,0.53
2004-01-02,29.52,10407300,1.41
2004-01-09,28.46,20533400,1.65
2004-01-16,29.33,13063100,1.31
2004-01-23,29.84,11594900,1.41
2004-01-30,30.44,11023400,1.03
2004-02-06,29.81,12562500,1.41
2004-02-13,29.84,19687500,0.9
2004-02-20,30.52,11921000,1.05
2004-02-27,31,13335900,0.9
2004-03-05,31.59,15008300,1.19
2004-03-12,30.91,12143600,1.29
2004-03-19,31.74,11200900,1.37
2004-03-26,31.04,12262300,1.35
2004-04-02,32.56,10467300,1.56
2004-04-09,33.25,7882600,0.81
2004-04-16,32.71,22830300,3.38
2004-04-23,33.03,15011200,1.52
2004-04-30,30.74,28459600,2.55
2004-05-07,30.27,17108300,1.08
2004-05-14,31.26,16970600,2.22
2004-05-21,31.5,16773000,1.22
2004-05-28,32.57,19681700,1.41
2004-06-04,32.43,12983200,0.65
2004-06-11,32.04,9707800,1.05
2004-06-18,31.89,10617400,0.58
2004-06-25,30.87,17454300,1.62
2004-07-02,30.47,12387100,1
2004-07-09,30.11,11258100,1.14
2004-07-16,32.82,21167800,3.12
2004-07-23,31.44,15906400,1.95
2004-07-30,31.51,36090800,2.55
2004-08-06,30.65,15082100,1.25
2004-08-13,32.42,14587400,1.89
2004-08-20,32.78,9532800,0.77
2004-08-27,32.82,7049500,0.64
2004-09-03,33.52,8913800,1.29
2004-09-10,34.44,9589700,1.01
2004-09-17,34.91,13070400,0.92
2004-09-24,35.67,10398200,2.3
2004-10-01,36.88,21000200,1.94
2004-10-08,36.7,14762700,1.28
2004-10-15,36.67,20739200,1.99
2004-10-22,34.93,48508400,4.53
2004-10-29,36.2,20131200,2.37
2004-11-05,39.74,23620900,4.05
2004-11-12,40.75,18966200,1.61
2004-11-19,40.86,12168400,1.47
2004-11-26,41.94,6860300,1.76
2004-12-03,41.16,18405100,1.42
2004-12-10,42.39,17803800,2.85
2004-12-17,42.68,19748100,1.43
2004-12-24,42.5,8737400,0.97
2004-12-31,44.02,7853700,1.73
2005-01-07,43.62,13968400,1.73
2005-01-14,44.78,12234500,1.31
2005-01-21,44.43,16265500,2.23
2005-01-28,44.08,12556200,1.53
2005-02-04,45.89,12888300,1.73
2005-02-11,43.88,15983800,1.99
2005-02-18,44.53,10868000,1.37
2005-02-25,45.7,10714800,2.42
2005-03-04,46.65,10509600,1.74
2005-03-11,45.14,11721900,2.19
2005-03-18,45.63,12677800,1.23
2005-03-25,46.43,9825700,1.37
2005-04-01,47.92,16080000,2.06
2005-04-08,49.2,15233700,2.24
2005-04-15,46.64,23409600,3.28
2005-04-22,45.63,19752900,2.15
2005-04-29,47.26,18685300,3.05
2005-05-06,49.21,17732600,2.43
2005-05-13,47.69,15427800,2.67
2005-05-20,48.25,18485600,1.36
2005-05-27,48.89,11472300,0.81
2005-06-03,50.6,22722400,2.83
2005-06-10,50.79,26605700,1.98
2005-06-17,51.85,21813700,1.26
2005-06-24,51.3,22268900,3.36
2005-07-01,52.81,23551100,2.44
2005-07-08,53.05,35806600,2.71
2005-07-15,50.82,41048300,3.1
2005-07-22,50.8,41109400,3.45
2005-07-29,52.3,35988900,2.63
2005-08-05,52.06,26753300,1.55
2005-08-12,52.09,20553400,2.36
2005-08-19,51.18,15326200,1.18
2005-08-26,50.45,16835500,1.47
2005-09-02,52.53,20831800,2.71
2005-09-09,54.51,18269500,2.27
2005-09-16,54.05,25927300,1.96
2005-09-23,55,30565100,3.16
2005-09-30,56.2,27890300,2
2005-10-07,56.37,25083400,2.05
2005-10-14,56.43,26840300,2.77
2005-10-21,57.14,26021400,2.47
2005-10-28,56.73,33870000,3.97
2005-11-04,58.02,47214800,3.29
2005-11-11,59.65,23314300,2.68
2005-11-18,60.96,22885700,2.52
2005-11-25,60.16,14008700,1.04
2005-12-02,61.97,27394700,3.74
2005-12-09,63.67,22310000,2.82
2005-12-16,63.14,21395700,1.98
2005-12-23,63.65,46664900,3.47
2005-12-30,62.14,15692400,2.48
2006-01-06,62.9,24861500,2.33
2006-01-13,60.94,36968600,3.2
2006-01-20,59.48,36948500,2.81
2006-01-27,58.54,40766700,2.71
2006-02-03,59.62,36545700,2.3
2006-02-10,58.6,27360000,2.35
2006-02-17,58,24617700,1.92
2006-02-24,58.89,20106700,1.94
2006-03-03,56.6,26347300,2.67
2006-03-10,56.17,30441200,1.76
2006-03-17,56.69,39371700,3.67
2006-03-24,55.78,25280600,1.91
2006-03-31,55.86,50670000,3.77
2006-04-07,53.69,40367800,2.95
2006-04-14,53.5,53420900,2.92
2006-04-21,49.57,122227900,5.59
2006-04-28,49.74,77863400,3.99
2006-05-05,46.39,71311200,4.3
2006-05-12,45.84,127054400,3.34
2006-05-19,44.42,64425900,3.7
2006-05-26,43.12,65877700,3.13
2006-06-02,46.98,42352000,4.57
2006-06-09,45.77,31025300,1.51
2006-06-16,44.29,31884400,1.95
2006-06-23,45.23,30031800,2.37
2006-06-30,44.78,29008400,2.92
2006-07-07,45.39,17109700,1.34
2006-07-14,47.55,39112800,3.5
2006-07-21,50,49897300,4.67
2006-07-28,47.85,44513100,4.27
2006-08-04,48.56,28499800,2.33
2006-08-11,47.57,25933400,3.47
2006-08-18,49.5,21656100,2.03
2006-08-25,50.88,17464600,2.28
2006-09-01,51.8,21182200,1.61
2006-09-08,50.9,14832200,2.27
2006-09-15,52.21,22121900,2.57
2006-09-22,48.97,25401900,3.94
2006-09-29,49.2,27523500,1.84
2006-10-06,51.5,30746400,4.09
2006-10-13,48.75,26458000,2.98
2006-10-20,50.7,90506700,4.84
2006-10-27,49.41,41194600,2.74
2006-11-03,47.83,29534400,2.32
2006-11-10,46.11,63360100,4.88
2006-11-17,47.25,36693900,2.49
2006-11-24,46.71,18847900,1.68
2006-12-01,48.83,42701300,3.66
2006-12-08,49.91,38512100,1.63
2006-12-15,50.09,33132700,1.42
2006-12-22,53.45,41550400,4.48
2006-12-29,53.73,15269400,1.99
2007-01-05,52.55,19731600,2.41
2007-01-12,55.1,28741200,3.14
2007-01-19,53.2,36238900,3.21
2007-01-26,51.54,33667600,2.49
2007-02-02,52.91,24830800,2.1
2007-02-09,50.88,31159100,2.32
2007-02-16,53.95,31386432,2.97
2007-02-23,53.03,19512600,2.07
2007-03-02,54.18,42271853,4.14
2007-03-09,53,40054500,2.01
2007-03-16,53.13,44731200,1.96
2007-03-23,56.51,51706431,3.44
2007-03-30,52.97,72441336,4.75
2007-04-06,55.33,35624075,2.93
2007-04-13,52.95,38836271,3.18
2007-04-20,53.2,59962362,3.9
2007-04-27,53.15,52502227,2.19
2007-05-04,53.57,37581881,1.56
2007-05-11,53.59,35862298,1.92
2007-05-18,53.47,30308121,1.55
2007-05-25,54.41,33673026,1.72
2007-06-01,55.21,22852862,1.24
2007-06-08,53.67,27043010,2.44
2007-06-15,52.9,30067615,1.35
2007-06-22,51.3,37854363,2.16
2007-06-29,51.14,32701728,2.3
2007-07-06,53.02,21292016,1.99
2007-07-13,52.98,43842086,2.12
